24/11/2024 10:36:12 Epoch 81/100 summary: loss_train=0.66877, acc_train=79.04%, loss_val=0.00, acc_val=79.18% (best: 80.46% @ epoch None)
24/11/2024 10:36:40 Epoch 82/100 summary: loss_train=0.66176, acc_train=79.75%, loss_val=0.00, acc_val=73.44% (best: 80.46% @ epoch None)
24/11/2024 10:37:08 Epoch 83/100 summary: loss_train=0.68563, acc_train=77.18%, loss_val=0.00, acc_val=77.52% (best: 80.46% @ epoch None)
24/11/2024 10:37:36 Epoch 84/100 summary: loss_train=0.67564, acc_train=78.42%, loss_val=0.00, acc_val=78.42% (best: 80.46% @ epoch None)
24/11/2024 10:38:04 Epoch 85/100 summary: loss_train=0.66186, acc_train=79.31%, loss_val=0.00, acc_val=81.48% (best: 81.48% @ epoch None)
24/11/2024 10:38:33 Epoch 86/100 summary: loss_train=0.66381, acc_train=79.31%, loss_val=0.00, acc_val=79.05% (best: 81.48% @ epoch None)
24/11/2024 10:39:01 Epoch 87/100 summary: loss_train=0.64270, acc_train=81.79%, loss_val=0.00, acc_val=81.35% (best: 81.48% @ epoch None)
24/11/2024 10:39:29 Epoch 88/100 summary: loss_train=0.65133, acc_train=80.15%, loss_val=0.00, acc_val=81.23% (best: 81.48% @ epoch None)
24/11/2024 10:39:57 Epoch 89/100 summary: loss_train=0.64934, acc_train=80.86%, loss_val=0.00, acc_val=76.50% (best: 81.48% @ epoch None)
24/11/2024 10:40:30 Epoch 90/100 summary: loss_train=0.65755, acc_train=80.51%, loss_val=0.00, acc_val=81.99% (best: 81.99% @ epoch None)
24/11/2024 10:41:00 Epoch 91/100 summary: loss_train=0.64107, acc_train=81.26%, loss_val=0.00, acc_val=80.08% (best: 81.99% @ epoch None)
24/11/2024 10:41:30 Epoch 92/100 summary: loss_train=0.64870, acc_train=81.53%, loss_val=0.00, acc_val=80.08% (best: 81.99% @ epoch None)
24/11/2024 10:42:00 Epoch 93/100 summary: loss_train=0.63437, acc_train=82.64%, loss_val=0.00, acc_val=80.84% (best: 81.99% @ epoch None)
24/11/2024 10:42:28 Epoch 94/100 summary: loss_train=0.63785, acc_train=81.62%, loss_val=0.00, acc_val=81.48% (best: 81.99% @ epoch None)
24/11/2024 10:42:56 Epoch 95/100 summary: loss_train=0.64073, acc_train=80.68%, loss_val=0.00, acc_val=79.18% (best: 81.99% @ epoch None)
24/11/2024 10:43:25 Epoch 96/100 summary: loss_train=0.63822, acc_train=81.57%, loss_val=0.00, acc_val=81.86% (best: 81.99% @ epoch None)
24/11/2024 10:43:53 Epoch 97/100 summary: loss_train=0.64355, acc_train=80.77%, loss_val=0.00, acc_val=81.10% (best: 81.99% @ epoch None)
24/11/2024 10:44:22 Epoch 98/100 summary: loss_train=0.65076, acc_train=80.68%, loss_val=0.00, acc_val=81.23% (best: 81.99% @ epoch None)
24/11/2024 10:44:50 Epoch 99/100 summary: loss_train=0.64564, acc_train=81.66%, loss_val=0.00, acc_val=81.10% (best: 81.99% @ epoch None)
